pgs_id,trait,mode,metric,value,baseline_value,delta_vs_baseline,reduction,n_labeled_retained
PGS000018,T2D,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS000018,T2D,flag,median_I2_retained,0.0,,,,75379.0
PGS000018,T2D,flag,mean_sign_concordance_retained,0.6301847100257874,,,,75379.0
PGS000018,T2D,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS004696,CAD,flag,mean_abs_delta_EUR,2.5994430113029185,2.5994430113029185,0.0,0.0,
PGS004696,CAD,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS004696,CAD,flag,median_I2_retained,0.0,,,,56256.0
PGS004696,CAD,flag,mean_sign_concordance_retained,0.6269418001174927,,,,56256.0
PGS004696,CAD,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS004698,CAD,flag,mean_abs_delta_EUR,2.287875058080976,2.287875058080976,0.0,0.0,
PGS004698,CAD,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS004698,CAD,flag,median_I2_retained,0.0,,,,39217.0
PGS004698,CAD,flag,mean_sign_concordance_retained,0.6361477971076965,,,,39217.0
PGS004698,CAD,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS003897,BMI,flag,mean_abs_delta_EUR,0.37614086305643446,0.37614086305643446,0.0,0.0,
PGS003897,BMI,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS003897,BMI,flag,median_I2_retained,0.3653784394264221,,,,12209.0
PGS003897,BMI,flag,mean_sign_concordance_retained,0.5612508654594421,,,,12209.0
PGS003897,BMI,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS002853,LDL,flag,mean_abs_delta_EUR,0.45118847641173754,0.45118847641173754,0.0,0.0,
PGS002853,LDL,flag,kendall_w,0.01728395061728395,0.01728395061728395,0.0,0.0,
PGS002853,LDL,flag,median_I2_retained,0.04229341074824333,,,,448695.0
PGS002853,LDL,flag,mean_sign_concordance_retained,0.5856369137763977,,,,448695.0
PGS002853,LDL,flag,weight_retained_frac,1.0,1.0,0.0,0.0,
PGS002858,LDL,flag,mean_abs_delta_EUR,0.4849669332315403,0.4849669332315403,0.0,0.0,
